total_timesteps,approx_kl,capture_accuracy,capture_attempts,captured_targets,clip_fraction,clip_range,discounted_cost,entropy_loss,ep_len_mean,ep_rew_mean,explained_variance,fps,iterations,jc_hat,lambda,learning_rate,loss,mean_power,n_delegate,n_lookahead,n_move_noop,n_payload,n_roll,n_sense_noop,n_updates,normalised_power,policy_gradient_loss,slack,targets_imaged,threshold,time_elapsed,value_loss,violation
1024.0,,,,,,,,,,,,322.0,1.0,,0.0,,,,,,,,,,,,,5.0,,500.0,3.0,,
10240.0,0.0037304424,0.316,120.0,2.34,0.125,0.1,241.0,-2.42,300.0,2.34,-0.139,324.0,10.0,265.0,0.0,0.0001,-0.000651,391.0,73.4,98.8,66.2,120.0,160.0,81.6,36.0,2.61,-0.00234,5.0,6.94,500.0,31.0,0.0618,-235.0
20480.0,0.0018028775,0.396,164.0,3.75,0.0535,0.1,303.0,-2.36,300.0,3.05,0.138,324.0,20.0,,0.0,0.0001,0.00649,484.0,89.5,70.5,57.8,164.0,153.0,65.2,76.0,3.23,-0.00137,5.0,9.94,500.0,63.0,0.0852,
30720.0,0.0013297956,0.35,173.0,4.16,0.0989,0.1,316.0,-2.21,300.0,3.42,0.0351,317.0,30.0,,0.0,0.0001,0.0726,502.0,106.0,66.5,54.9,173.0,139.0,60.9,116.0,3.35,-0.00344,5.0,11.9,500.0,96.0,0.184,
40960.0,0.0058334735,0.394,211.0,6.19,0.18,0.1,367.0,-1.93,300.0,4.79,-0.0123,341.0,40.0,381.0,0.0,0.0001,0.0809,585.0,138.0,47.1,48.9,211.0,113.0,42.2,156.0,3.9,-0.00226,5.0,15.6,500.0,120.0,0.245,-119.0
50176.0,0.0013216897,0.416,227.0,8.97,0.0435,0.1,388.0,-1.58,300.0,6.15,0.249,369.0,49.0,,0.0,0.0001,0.177,621.0,184.0,38.3,33.2,227.0,83.1,35.1,192.0,4.14,-0.00192,5.0,21.7,500.0,135.0,0.39,
60416.0,0.0009598713,0.433,250.0,13.5,0.0354,0.1,419.0,-1.16,300.0,9.63,0.221,391.0,59.0,429.0,0.0,0.0001,0.215,673.0,230.0,25.3,16.6,250.0,53.2,24.8,232.0,4.48,-0.000861,5.0,31.2,500.0,154.0,0.455,-70.6
70656.0,0.0021070235,0.434,265.0,17.7,0.0564,0.1,446.0,-0.703,300.0,13.4,0.525,410.0,69.0,,0.0,0.0001,0.265,710.0,263.0,18.7,10.9,265.0,25.9,15.9,272.0,4.73,-0.00186,4.97,41.0,497.0,172.0,0.524,
80896.0,0.0013675526,0.447,272.0,20.4,0.0396,0.1,458.0,-0.563,300.0,16.9,0.413,424.0,79.0,,0.0,0.0001,0.124,729.0,285.0,19.8,3.44,272.0,11.3,7.78,312.0,4.86,-0.000279,4.91,45.9,491.0,190.0,0.346,
90112.0,0.0002986251,0.449,276.0,21.2,0.0127,0.1,463.0,-0.447,300.0,19.6,0.368,434.0,88.0,,0.0,0.0001,0.151,738.0,291.0,17.2,1.88,276.0,7.38,6.69,348.0,4.92,-3.43e-05,4.85,47.3,485.0,207.0,0.382,
100352.0,0.00033339788,0.472,280.0,23.8,0.0125,0.1,469.0,-0.333,300.0,21.7,0.584,444.0,98.0,,0.0,0.0001,0.128,746.0,295.0,16.6,0.875,280.0,4.31,3.72,388.0,4.98,0.000293,4.79,50.5,479.0,225.0,0.292,
110592.0,0.00019722269,0.446,282.0,23.2,0.00562,0.1,475.0,-0.309,300.0,22.8,0.542,452.0,108.0,475.0,0.00294,0.0001,0.14,752.0,298.0,15.3,0.156,282.0,1.84,2.59,428.0,5.02,0.000274,4.73,52.1,473.0,244.0,0.343,1.93
120832.0,7.8661076e-05,0.457,275.0,22.8,0.0,0.1,466.0,-0.355,300.0,23.0,0.407,459.0,118.0,462.0,0.0,0.0001,0.154,739.0,298.0,23.4,0.188,275.0,1.31,1.84,468.0,4.92,5.01e-05,4.67,49.9,467.0,263.0,0.352,-4.77
131072.0,0.0004631756,0.466,267.0,22.4,0.0645,0.1,456.0,-0.364,300.0,22.8,0.485,448.0,128.0,,0.0,0.0001,0.197,725.0,299.0,31.1,0.156,267.0,1.03,1.75,508.0,4.83,-0.000573,4.61,48.1,461.0,292.0,0.442,
140288.0,6.8675494e-05,0.469,272.0,22.8,0.00391,0.1,463.0,-0.36,300.0,22.6,0.561,436.0,137.0,,0.0208,0.0001,0.135,735.0,299.0,26.8,0.0625,272.0,1.19,0.938,544.0,4.9,0.000285,4.55,48.6,455.0,321.0,0.419,
150528.0,0.0012440186,0.449,267.0,20.6,0.0977,0.1,455.0,-0.608,300.0,21.8,-0.255,424.0,147.0,,0.0337,0.0001,0.18,722.0,292.0,28.1,1.91,267.0,6.41,5.16,584.0,4.81,0.00261,4.49,45.8,449.0,354.0,0.552,
160768.0,0.0003775523,0.472,254.0,20.9,0.0442,0.1,439.0,-0.796,300.0,21.4,0.25,422.0,157.0,,0.00753,0.0001,0.252,694.0,288.0,33.2,1.56,254.0,10.6,12.6,624.0,4.62,0.0011,4.43,44.3,443.0,380.0,1.05,
